G_CM_ACDC_ANGUS;Acdc Angus
G_CM_DEF_LEPPARD_PYROMANIA;Def Leppard Pyromania
G_CM_DEICEIDE_TO_HELL;Deiceide To Hell
CMCMGG00176;Destruction
G_CM_DIMMU_BORGIR_PENTAGRAMA;Dimmu Borgir Pentagrama
G_CM_DIO_HOLY_DIVER;Dio Holy Diver
G_CM_DISTURBED;Disturbed
G_CM_DOORS_AZUL;Doors Azul
G_CM_DREAM_THEATER_AWAKEN;Dream Theater Awaken
G_CM_DREAM_THEATER_BLACK_CLOUDS;Dream Theater Black Clouds
G_CM_DREAM_THEATER_METROPOLIS;Dream Theater Metropolis
G_CM_DRI_AZUL;Dri Azul
G_CM_DRI_BRANCA;Dri Branca
G_CM_ELVIS_VIOL√ÉO;Elvis Viol„Éo
G_CM_ENGENHEIROS_AZUL;Engenheiros Azul
G_CM_EVANESCENCE_BANDA_NOVA_MASTER;Evanescence Banda Nova Master
G_CM_EVANESCENCE_BANDA_VELHA_AZUL;Evanescence Banda Velha Azul
G_CM_EVANESCENCE_OLHOS_AZUIS;Evanescence Olhos Azuis
G_CM_EXODUS_BLACK_ANGEL;Exodus Black Angel
G_CM_FENDER;Fender
G_CM_FOO_FIGHTERS;Foo Fighters
G_CM_GAMES_ANAO;Games Anao
G_CM_GAMES_DRAGAO;Games Dragao
G_CM_GAMES_LOBO;Games Lobo
G_CM_GHOST_AZUL;Ghost Azul
G_CM_GHOST_MULHER;Ghost Mulher
G_CM_GIBSON;Gibson
G_CM_GOD_OF_WAR_HCD;God Of War Hcd
G_CM_GOD_OF_WAR_JOAO;God Of War Joao
G_CM_GOD_OF_WAR_MASTER;God Of War Master
G_CM_GOD_OF_WAR_NOVA;God Of War Nova
G_CM_GREEN_DAY_AMERICAN_IDIOT;Green Day American Idiot
G_CM_GUITARRA;Guitarra
G_CM_GUNS_APPETITE;Guns Appetite
G_CM_GUNS_AXL_CANTANDO;Guns Axl Cantando
G_CM_GUNS_BANDA_VIRUS;Guns Banda Virus
G_CM_GUNS_CAVEIRA_CARTOLA_EQUINOX;Guns Caveira Cartola Equinox
G_CM_GUNS_CAVEIRA_CARTOLA_MASTER;Guns Caveira Cartola Master
G_CM_GUNS_LOGO_GRANDE_JOAO;Guns Logo Grande Joao
G_CM_GUNS_LOGO_GRANDE_MASTER;Guns Logo Grande Master
G_CM_GUNS_NOME_GRANDE;Guns Nome Grande
G_CM_GUNS_SLASH_CINZA;Guns Slash Cinza
G_CM_HARLEY_AGUIA;Harley Aguia
G_CM_HARLEY_CINZA;Harley Cinza
G_CM_HARLEY_DAVIDSON_TRADICIONAL;Harley Davidson Tradicional
G_CM_HARLEY_MOTO_CINZA;Harley Moto Cinza
G_CM_HARLEY_MOTO_COLOR;Harley Moto Color
G_CM_HARLEY_MOTO_VIRUS;Harley Moto Virus
G_CM_HEINEKEN_HENDRIX;Heineken Hendrix
G_CM_HEINEKEN_VERDE;Heineken Verde
G_CM_HELLOWEEN_KEEPER_PART_1;Helloween Keeper Part 1
G_CM_HELLRAISER;Hellraiser
G_CM_HENDRIX_CIGARRO;Hendrix Cigarro
G_CM_HENDRIX_EXPERIENCE;Hendrix Experience
G_CM_INDIO_COCAR;Indio Cocar
G_CM_IRON_ALBUM_MASTER;Iron Album Master
G_CM_IRON_FEAR;Iron Fear
G_CM_IRON_FRONTIER;Iron Frontier
G_CM_IRON_KILLERS_EQUINOX;Iron Killers Equinox
G_CM_IRON_KILLERS_MASTER;Iron Killers Master
G_CM_IRON_NUMBER;Iron Number
G_CM_IRON_POWERSLAVE;Iron Powerslave
G_CM_IRON_TROOPER_A_PE;Iron Trooper A Pe
G_CM_IRON_TROOPER_CAVALO;Iron Trooper Cavalo
G_CM_JACK_DANIELS;Jack Daniels
G_CM_JAMES_BROWN;James Brown
G_CM_JANIS_ESCRITO_LADO;Janis Escrito Lado
G_CM_JASON_FACAO;Jason Facao
G_CM_JASON_MASCARA;Jason Mascara
G_CM_JETHRO_TULL_AQUALUNG;Jethro Tull Aqualung
G_CM_JETHRO_TULL_PAST;Jethro Tull Past
G_CM_JIM_CAVEIRA_BRACOS;Jim Caveira Bracos
G_CM_JIMI_BLACK;Jimi Black
G_CM_JIMI_CHAPEU;Jimi Chapeu
G_CM_JOAO_NOGUEIRA;Joao Nogueira
G_CM_JOHNNY_CASH_HCD;Johnny Cash Hcd
G_CM_JOY_DIVISION;Joy Division
G_CM_JOY_DIVISION_CANTANDO;Joy Division Cantando
G_CM_JUDAS_PRIEST_STEEL;Judas Priest Steel
G_CM_KISS_DESTROYER;Kiss Destroyer
G_CM_KISS_DYNASTY;Kiss Dynasty
G_CM_KISS_ROCK_AND_ROLL;Kiss Rock And Roll
G_CM_KORN_ESCRITO;Korn Escrito
G_CM_KREATOR_PHANTOM;Kreator Phantom
G_CM_KREATOR_PLEASURE;Kreator Pleasure
G_CM_LARANJA_MECANICA;Laranja Mecanica
G_CM_LEAGUE_OF_LEGENDS;League Of Legends
G_CM_LED_ANJO_COLORIDO;Led Anjo Colorido
G_CM_LED_ANJO_DOURADO;Led Anjo Dourado
G_CM_LED_BANDA_AMARELA;Led Banda Amarela
G_CM_LED_ZEPPELIN_EREMITA;Led Zeppelin Eremita
G_CM_LED_ZEPPELIN_MOTHERSHIP;Led Zeppelin Mothership
G_CM_LEGIAO_4_ESTACOES;Legiao 4 Estacoes
G_CM_LEGIAO_BANDA_AZUL_MASTER;Legiao Banda Azul Master
G_CM_LEGIAO_DOURADA;Legiao Dourada
G_CM_LEGIAO_FAROESTE;Legiao Faroeste
G_CM_LEGIAO_VERDE;Legiao Verde
G_CM_LINKIN_PARK_METEORA;Linkin Park Meteora
G_CM_LINKIN_PARK_ROAD_ESCRITO_BRANCO;Linkin Park Road Escrito Branco
G_CM_LINKIN_PARK_SOLDADO_HYBRID;Linkin Park Soldado Hybrid
G_CM_MARILYN_CAVEIRA;Marilyn Caveira
G_CM_MARILYN_MANSON_MASTER;Marilyn Manson Master
G_CM_MARIO_LUIGI;Mario Luigi
G_CM_MARSHALL;Marshall
CMCMG00397;Masculina
G_CM_MAYHEM_AZUL;Mayhem Azul
G_CM_MEGADETH_BOMBA;Megadeth Bomba
G_CM_MEGADETH_CAVEIRA_MASTER;Megadeth Caveira Master
G_CM_MEGADETH_RUST;Megadeth Rust
G_CM_MERCYFUL_FATE;Mercyful Fate
G_CM_METALLICA_COBRA;Metallica Cobra
G_CM_METALLICA_DEATH_MAGNETIC_BRANCA;Metallica Death Magnetic Branca
G_CM_METALLICA_DEATH_MAGNETIC_PRETA;Metallica Death Magnetic Preta
G_CM_METALLICA_JUSTICE;Metallica Justice
G_CM_METALLICA_JUSTICE_PRETA;Metallica Justice Preta
G_CM_METALLICA_KILL;Metallica Kill
G_CM_METALLICA_MASTER;Metallica Master
G_CM_METALLICA_MASTER_ALBUM;Metallica Master Album
G_CM_METALLICA_MASTER_ROCK;Metallica Master Rock
G_CM_METALLICA_RIDE;Metallica Ride
G_CM_METALLICA_ST_ANGER_PUNHO;Metallica St Anger Punho
G_CM_MEXICANA_TATTOO;Mexicana Tattoo
G_CM_MISFITS_ROXA;Misfits Roxa
G_CM_MISFITS_VERDE;Misfits Verde
G_CM_MORBID_ANGEL_ALTARS;Morbid Angel Altars
G_CM_MORBID_ANGEL_LOGO;Morbid Angel Logo
G_CM_MOTO_INDIAN;Moto Indian
G_CM_MOTORHEAD_TRADICIONAL;Motorhead Tradicional
G_CM_NARUTO_BRANCA_VIRUS;Naruto Branca Virus
G_CM_NIRVANA_BANDA_MASTER;Nirvana Banda Master
G_CM_NIRVANA_BATERIA;Nirvana Bateria
G_CM_NIRVANA_MALHA_CINZA;Nirvana Malha Cinza
G_CM_NIRVANA_NEVERMIND;Nirvana Nevermind
G_CM_NIRVANA_NEVERMIND_ALBUM;Nirvana Nevermind Album
G_CM_NIRVANA_SMILE;Nirvana Smile
G_CM_OBITUARY_ESTAMPA;Obituary Estampa
G_CM_OBITUARY_LOGO;Obituary Logo
G_CM_ONE_PIECE_PRETA_HCD;One Piece Preta Hcd
G_CM_ONE_PIECE_PRETA_VIRUS;One Piece Preta Virus
G_CM_PANTERA_COWBOYS;Pantera Cowboys
G_CM_PANTERA_OFFICIAL;Pantera Official
G_CM_PASSARO_VERMELHO;Passaro Vermelho
G_CM_PEARL;Pearl
G_CM_PEARL_JAM_BONEQUINHO;Pearl Jam Bonequinho
G_CM_PINK_FLOYD_BANDA;Pink Floyd Banda
G_CM_PINK_FLOYD_DIVISION;Pink Floyd Division
G_CM_PINK_FLOYD_PRISMA;Pink Floyd Prisma
G_CM_PINK_FLOYD_THE_WALL_BRANCA;Pink Floyd The Wall Branca
G_CM_PINK_FLOYD_WALL_PRETA;Pink Floyd Wall Preta
G_CM_PIRATAS_DO_CARIBE;Piratas Do Caribe
G_CM_PIXINGUINHA;Pixinguinha
G_CM_PODEROSO_CHEFAO;Poderoso Chefao
G_CM_QUEEN_DOURADA;Queen Dourada
G_CM_RAINBOW_LONG_LIVE;Rainbow Long Live
G_CM_RAINBOW_RISING;Rainbow Rising
G_CM_RAMMSTEIN;Rammstein
G_CM_RAMONES_PROCURADOS;Ramones Procurados
G_CM_RAMONES_TRADICIONAL_BRANCA;Ramones Tradicional Branca
G_CM_RAMONES_TRADICIONAL_PRETA;Ramones Tradicional Preta
G_CM_RAUL_CHAVE;Raul Chave
G_CM_RED_HOT_BRANCA;Red Hot Branca
G_CM_RED_HOT_PRETA;Red Hot Preta
G_CM_RUSH_CORUJA;Rush Coruja
G_CM_RUSH_ESTRELA;Rush Estrela
G_CM_RUSH_MOVING_PICTURES;Rush Moving Pictures
G_CM_SARCOFAGO_ROTTING;Sarcofago Rotting
G_CM_SARCOFAGO_SCOURGE;Sarcofago Scourge
G_CM_SCORPIONS_IN_TRANCE;Scorpions In Trance
G_CM_SEPULTURA_REMAINS;Sepultura Remains
G_CM_SEPULTURA_ROOTS;Sepultura Roots
G_CM_SEPULTURA_S;Sepultura S
G_CM_SEX_PISTOLS_AMARELA;Sex Pistols Amarela
G_CM_SEX_PISTOLS_FANTA;Sex Pistols Fanta
G_CM_SLASH_CAVEIRA;Slash Caveira
G_CM_SLAYER_AGUIA;Slayer Aguia
G_CM_SLAYER_CAVEIRA_CAPACETE;Slayer Caveira Capacete
G_CM_SLAYER_FUZIL;Slayer Fuzil
G_CM_SLAYER_REIGN_IN_BLOOD;Slayer Reign In Blood
G_CM_SLAYER_SOUTH;Slayer South
G_CM_SLIPKNOT_BANDA_NOVA_MASTER;Slipknot Banda Nova Master
G_CM_SLIPKNOT_BANDA_NOVA_VIRUS;Slipknot Banda Nova Virus
G_CM_SLIPKNOT_BANDA_VELHA_VIRUS;Slipknot Banda Velha Virus
G_CM_SLIPKNOT_CIRCO;Slipknot Circo
G_CM_SLIPKNOT_QUADRADINHOS;Slipknot Quadradinhos
G_CM_SMITHS;Smiths
G_CM_SMITHS_CAPACETE;Smiths Capacete
G_CM_SONIC_YOUTH_AZUL;Sonic Youth Azul
G_CM_SONIC_YOUTH_BRANCA;Sonic Youth Branca
G_CM_SOUNDGARDEN;Soundgarden
G_CM_STAR_WARS_CAPACETE;Star Wars Capacete
G_CM_STONES_LINGUA_BRANCA;Stones Lingua Branca
G_CM_STONES_LINGUA_PRETA;Stones Lingua Preta
CMCMG00141;Strokes Branca
G_CM_STROKES_PRETA;Strokes Preta
G_CM_SYSTEM_BANDA_GRANDE_MASTER;System Banda Grande Master
G_CM_SYSTEM_BANDA_NOVA_VIRUS;System Banda Nova Virus
G_CM_SYSTEM_BONEQUINHOS;System Bonequinhos
G_CM_SYSTEM_HYPNOTIZE;System Hypnotize
G_CM_SYSTEM_MEZMERIZE_ALBUM;System Mezmerize Album
G_CM_SYSTEM_MEZMERIZE_BANDA;System Mezmerize Banda
G_CM_TESTAMENT_BRANCA;Testament Branca
G_CM_TESTAMENT_DARK;Testament Dark
CMCMG00373;The Cure Boys
G_CM_THE_CURE_PRETA;The Cure Preta
CMCMGG00127;The Doors Morrison Branca
G_CM_THE_WHO;The Who
G_CM_TIM_MAIA;Tim Maia
G_CM_TIO_SAM;Tio Sam
G_CM_TOM_JOBIM;Tom Jobim
G_CM_V_DE_VINGANCA_BRANCA;V De Vinganca Branca
G_CM_V_DE_VINGANCA_PRETA;V De Vinganca Preta
G_CM_VAN_HALEN_ANJO;Van Halen Anjo
G_CM_VAN_HALEN_DOURADA;Van Halen Dourada
G_CM_VENON_POSSESSED;Venon Possessed
G_CM_VENON_PRATA;Venon Prata
G_CM_VINICIUS;Vinicius
G_CM_WALKING_DEAD_CARICATURA;Walking Dead Caricatura
G_CM_WALKING_DEAD_INSIDE;Walking Dead Inside
G_CM_WALKING_DEAD_MASTER;Walking Dead Master
G_CM_WALKING_DEAD_VIRUS;Walking Dead Virus
G_CM_WHITESNAKE_LOVE;Whitesnake Love
G_CM_YES_FRAGILE;Yes Fragile
G_CM_ZILDJIAN;Zildjian
G_CM_ZUMBI_HARDCORE;Zumbi Hardcore
